time,transnational_regions,realization,t2m
1946-04-01,8,0,283.91207445926534
1946-05-01,8,0,288.00743941073256
1946-06-01,8,0,291.08027651421975
1946-07-01,8,0,295.5048858187584
1946-08-01,8,0,295.5220881356224
1946-09-01,8,0,293.7532069255942
1946-10-01,8,0,282.9954494407358
1946-11-01,8,0,281.1154900550851
1946-12-01,8,0,272.96755695966397
1947-01-01,8,0,270.19605360581363
1947-02-01,8,0,274.9192971224853
1947-03-01,8,0,280.2232916642113
1947-04-01,8,0,282.7895470705512
1947-05-01,8,0,286.6974671172181
1947-06-01,8,0,292.6717571081132
1947-07-01,8,0,296.0860181250126
1947-08-01,8,0,294.3906791305177
1947-09-01,8,0,290.513907309154
1947-10-01,8,0,284.19044386664
1947-11-01,8,0,279.67970372468585
1947-12-01,8,0,275.00621866279107
1948-01-01,8,0,276.2240585076144
1948-02-01,8,0,274.3779052420983
1948-03-01,8,0,280.86395089815426
1948-04-01,8,0,282.6585128419581
1948-05-01,8,0,286.44954673961763
1948-06-01,8,0,290.26389625246895
1948-07-01,8,0,292.45759428257793
1948-08-01,8,0,294.6976193501453
1948-09-01,8,0,290.63403323838537
1948-10-01,8,0,285.16644173314455
1948-11-01,8,0,279.52623292252133
1948-12-01,8,0,275.88462731781584
1949-01-01,8,0,275.5519682545234
1949-02-01,8,0,274.7949059562127
1949-03-01,8,0,275.73793918786305
1949-04-01,8,0,282.8852093030132
1949-05-01,8,0,286.01244375738355
1949-06-01,8,0,290.5187377594101
1949-07-01,8,0,294.68437681514297
1949-08-01,8,0,292.6386867863716
1949-09-01,8,0,291.1839342731326
1949-10-01,8,0,285.3063191451721
1949-11-01,8,0,281.04705490322334
1949-12-01,8,0,276.9332775663662
1950-01-01,8,0,272.7381153270263
1950-02-01,8,0,276.28924744212736
1950-03-01,8,0,279.5467643111657
1950-04-01,8,0,283.2081237780326
1950-05-01,8,0,287.4165542312134
1950-06-01,8,0,293.3589409522441
1950-07-01,8,0,297.11316174964327
1950-08-01,8,0,295.7569419170478
1950-09-01,8,0,291.08054050681096
1950-10-01,8,0,284.12360363073265
1950-11-01,8,0,281.7824558675888
1950-12-01,8,0,275.513616475287
1951-01-01,8,0,276.9504596714637
1951-02-01,8,0,277.4342584307318
1951-03-01,8,0,277.70049343674236
1951-04-01,8,0,283.1995238464242
1951-05-01,8,0,285.32625712605085
1951-06-01,8,0,291.08515978034825
1951-07-01,8,0,294.37919872671614
1951-08-01,8,0,294.4371099052006
1951-09-01,8,0,291.31022460738706
1951-10-01,8,0,283.74954251813614
1951-11-01,8,0,281.0209543844128
1951-12-01,8,0,277.846018509387
1952-01-01,8,0,275.1251013805006
1952-02-01,8,0,276.6387171123434
1952-03-01,8,0,278.400212267311
1952-04-01,8,0,281.44195321788953
