time,transnational_regions,realization,data
1962-01-01,8,0,300.5620138110737
1962-02-01,8,0,306.3568463590377
1962-03-01,8,0,267.37658259478894
1962-04-01,8,0,138.67021802465027
1962-05-01,8,0,67.65471635553362
1962-06-01,8,0,33.76808539952544
1962-07-01,8,0,12.098809436189063
1962-08-01,8,0,6.21015251728643
1962-09-01,8,0,27.733644054862964
1962-10-01,8,0,74.57432906609904
1962-11-01,8,0,207.9001682098833
1962-12-01,8,0,361.507109283156
1963-01-01,8,0,410.0071735812523
1963-02-01,8,0,338.52418685636377
1963-03-01,8,0,267.83486676372723
1963-04-01,8,0,140.1270251655218
1963-05-01,8,0,66.37978213311976
1963-06-01,8,0,25.025129796971623
1963-07-01,8,0,7.234020624988158
1963-08-01,8,0,13.021240313583089
1963-09-01,8,0,26.74502771423214
1963-10-01,8,0,89.04913878922447
1963-11-01,8,0,141.22290173018177
1963-12-01,8,0,331.3313616775704
1964-01-01,8,0,400.99989214195705
1964-02-01,8,0,296.9984343932856
1964-03-01,8,0,241.32526966541832
1964-04-01,8,0,141.36118976599477
1964-05-01,8,0,48.92575881824629
1964-06-01,8,0,14.998345227154532
1964-07-01,8,0,10.262550182926844
1964-08-01,8,0,12.501093423208422
1964-09-01,8,0,27.11348142880619
1964-10-01,8,0,102.7155729176213
1964-11-01,8,0,181.60027829481322
1964-12-01,8,0,315.4396399181758
1965-01-01,8,0,337.30315758731456
1965-02-01,8,0,365.6794563172192
1965-03-01,8,0,244.29542672617947
1965-04-01,8,0,162.3595403654628
1965-05-01,8,0,69.62791912310792
1965-06-01,8,0,25.819966578879114
1965-07-01,8,0,12.299986422963807
1965-08-01,8,0,16.91514737146002
1965-09-01,8,0,37.84905238653285
1965-10-01,8,0,92.2318343129783
1965-11-01,8,0,196.45187349238975
1965-12-01,8,0,273.83833806037137
1966-01-01,8,0,343.41501781540205
1966-02-01,8,0,196.16235227207181
1966-03-01,8,0,251.85654612299012
1966-04-01,8,0,115.99676231226184
1966-05-01,8,0,60.6919881082775
1966-06-01,8,0,22.14265456597043
1966-07-01,8,0,14.277042387614117
1966-08-01,8,0,12.616390558987003
1966-09-01,8,0,21.629660733407288
1966-10-01,8,0,65.12169058454592
1966-11-01,8,0,233.5648129617688
1966-12-01,8,0,309.5100840809576
1967-01-01,8,0,378.38613850215035
1967-02-01,8,0,286.7101600471141
1967-03-01,8,0,206.63606288031997
1967-04-01,8,0,155.09718171330923
1967-05-01,8,0,63.5383115820637
1967-06-01,8,0,32.10807665231954
1967-07-01,8,0,6.750133839813578
1967-08-01,8,0,8.817864975380694
1967-09-01,8,0,25.506201918213574
1967-10-01,8,0,59.907747684395275
1967-11-01,8,0,171.52745971222296
1967-12-01,8,0,334.971476932634
1968-01-01,8,0,370.6202249473847
1968-02-01,8,0,255.4013918123062
1968-03-01,8,0,237.42347415739695
1968-04-01,8,0,112.45759926701317
1968-05-01,8,0,56.654474239505234
1968-06-01,8,0,22.585702226848937
1968-07-01,8,0,12.460746453720835
1968-08-01,8,0,14.957893199143285
1968-09-01,8,0,29.937692548185503
1968-10-01,8,0,71.59927813818425
1968-11-01,8,0,176.2644743300262
1968-12-01,8,0,315.25360761008517
1969-01-01,8,0,346.6101107748959
1969-02-01,8,0,296.279245306633
1969-03-01,8,0,243.25142331169553
1969-04-01,8,0,152.9961579843996
1969-05-01,8,0,50.037880100900054
1969-06-01,8,0,30.42664406598742
1969-07-01,8,0,12.909153586262539
1969-08-01,8,0,14.055093012308864
1969-09-01,8,0,27.25115353371909
1969-10-01,8,0,78.42778361051066
1969-11-01,8,0,173.9168800404342
1969-12-01,8,0,345.73754140534186
1970-01-01,8,0,288.85988611700463
1970-02-01,8,0,267.1885912964084
1970-03-01,8,0,259.4054267997296
1970-04-01,8,0,145.64780512797674
1970-05-01,8,0,83.48300086953007
1970-06-01,8,0,19.37448242138402
1970-07-01,8,0,12.41062186451941
1970-08-01,8,0,10.162879020980196
1970-09-01,8,0,25.410611488316118
1970-10-01,8,0,109.72449421227586
1970-11-01,8,0,157.5322101576878
1970-12-01,8,0,332.0483875767438
1971-01-01,8,0,320.92560523151076
1971-02-01,8,0,274.3281334401853
1971-03-01,8,0,301.19774424514424
1971-04-01,8,0,126.32338558222662
1971-05-01,8,0,58.792642333889624
1971-06-01,8,0,28.314778193282145
1971-07-01,8,0,10.123405185574034
1971-08-01,8,0,7.2493086384031225
1971-09-01,8,0,37.769129320805135
1971-10-01,8,0,96.39009406566518
1971-11-01,8,0,225.01281537779698
1971-12-01,8,0,297.30220211897705
1972-01-01,8,0,337.9823845890072
1972-02-01,8,0,262.26190980439503
1972-03-01,8,0,208.7955639062863
1972-04-01,8,0,129.2874693998648
1972-05-01,8,0,78.55821653451093
1972-06-01,8,0,24.80009750641318
1972-07-01,8,0,10.441739377497775
1972-08-01,8,0,16.446517431914614
1972-09-01,8,0,53.00662460127195
1972-10-01,8,0,122.62355990433986
1972-11-01,8,0,180.2815052357613
1972-12-01,8,0,306.872740097276
1973-01-01,8,0,343.66762736126793
1973-02-01,8,0,286.2324469596632
1973-03-01,8,0,273.5227768632549
1973-04-01,8,0,169.75281378181464
1973-05-01,8,0,52.484745679585274
1973-06-01,8,0,19.46436216207246
1973-07-01,8,0,9.993529071611897
1973-08-01,8,0,7.9828921367576156
1973-09-01,8,0,24.04728102119344
1973-10-01,8,0,101.55575667840063
1973-11-01,8,0,211.38896619813954
1973-12-01,8,0,318.9103157178903
1974-01-01,8,0,302.54196869374175
1974-02-01,8,0,246.72176399155256
1974-03-01,8,0,222.07061269608772
1974-04-01,8,0,165.2955835422734
1974-05-01,8,0,72.43438904913513
1974-06-01,8,0,24.95196240469573
1974-07-01,8,0,12.31833529289382
1974-08-01,8,0,9.690581997771181
1974-09-01,8,0,32.27076726470508
1974-10-01,8,0,146.84061405694257
1974-11-01,8,0,200.05988144542565
1974-12-01,8,0,290.2037068671844
1975-01-01,8,0,304.08335585450027
1975-02-01,8,0,278.60029584290504
1975-03-01,8,0,231.4815618570458
1975-04-01,8,0,139.95322609263633
1975-05-01,8,0,66.63776354329322
1975-06-01,8,0,28.162194102909865
1975-07-01,8,0,9.898362221500749
1975-08-01,8,0,10.423099382133854
1975-09-01,8,0,20.93221526739379
1975-10-01,8,0,104.72004070951215
1975-11-01,8,0,214.78032523561484
1975-12-01,8,0,314.3278185827836
1976-01-01,8,0,334.39219858859377
1976-02-01,8,0,288.66425099985923
1976-03-01,8,0,258.59877335313206
1976-04-01,8,0,153.83455269073406
1976-05-01,8,0,56.09545633663907
1976-06-01,8,0,20.596361169242407
1976-07-01,8,0,9.673028608542753
1976-08-01,8,0,18.66320201668986
1976-09-01,8,0,42.26655137071805
1976-10-01,8,0,99.01362166797017
1976-11-01,8,0,211.93051710443365
1976-12-01,8,0,292.82350684411347
1977-01-01,8,0,308.70745123454753
1977-02-01,8,0,202.8900823243043
1977-03-01,8,0,184.63655583213665
1977-04-01,8,0,141.59475370020476
1977-05-01,8,0,69.38111926269653
1977-06-01,8,0,29.820210079095016
1977-07-01,8,0,12.23958571220465
1977-08-01,8,0,15.58753092995037
1977-09-01,8,0,44.569598474886064
1977-10-01,8,0,76.94482121009726
1977-11-01,8,0,182.568509729806
1977-12-01,8,0,306.7978856319159
1978-01-01,8,0,341.63233200426083
1978-02-01,8,0,260.44979854596454
1978-03-01,8,0,214.5539563842558
1978-04-01,8,0,167.1069247366014
1978-05-01,8,0,82.83792294111284
1978-06-01,8,0,32.47066774512119
1978-07-01,8,0,15.703929826221326
1978-08-01,8,0,15.436640179046975
1978-09-01,8,0,33.33181272419729
1978-10-01,8,0,101.19022287568119
1978-11-01,8,0,236.4485383414234
1978-12-01,8,0,265.09335159154824
1979-01-01,8,0,351.7301553140581
1979-02-01,8,0,260.4428451763649
1979-03-01,8,0,213.95180183027696
