Código del producto (CPC),Producto,Código del año,Año,Produccion(toneladas),Area_cosechada(ha),Rendimiento(kg/ha)
111.0,Trigo,1961,1961,3438000.0,3890605.0,883.7
111.0,Trigo,1962,1962,4819545.0,4262540.0,1130.7
111.0,Trigo,1963,1963,4865360.0,4247015.0,1145.6
111.0,Trigo,1964,1964,3981000.0,4143000.0,960.9
111.0,Trigo,1965,1965,4719000.0,4260000.0,1107.7
111.0,Trigo,1966,1966,4881000.0,4191000.0,1164.6
111.0,Trigo,1967,1967,5654000.0,4263000.0,1326.3
111.0,Trigo,1968,1968,5315000.0,3966000.0,1340.1
111.0,Trigo,1969,1969,4626000.0,3770000.0,1227.1
111.0,Trigo,1970,1970,4062000.0,3756700.0,1081.3
111.0,Trigo,1971,1971,5449700.0,3655600.0,1490.8
111.0,Trigo,1972,1972,4562500.0,3587500.0,1271.8
111.0,Trigo,1973,1973,3967300.0,3152700.0,1258.4
111.0,Trigo,1974,1974,4534600.0,3164400.0,1433.0
111.0,Trigo,1975,1975,4302900.0,2661200.0,1616.9
111.0,Trigo,1976,1976,4436200.0,2772100.0,1600.3
111.0,Trigo,1977,1977,4064100.0,2715000.0,1496.9
111.0,Trigo,1978,1978,4806100.0,2751947.0,1746.4
111.0,Trigo,1979,1979,4082300.0,2551000.0,1600.3
111.0,Trigo,1980,1980,6039500.0,2698700.0,2237.9
111.0,Trigo,1981,1981,3408500.0,2635400.0,1293.4
111.0,Trigo,1982,1982,4410300.0,2662000.0,1656.8
111.0,Trigo,1983,1983,4267900.0,2603600.0,1639.2
111.0,Trigo,1984,1984,6052300.0,2305700.0,2624.9
111.0,Trigo,1985,1985,5328688.0,2043285.0,2607.9
111.0,Trigo,1986,1986,4392000.0,2114000.0,2077.6
111.0,Trigo,1987,1987,5791000.0,2221000.0,2607.4
111.0,Trigo,1988,1988,6514100.0,2338800.0,2785.2
111.0,Trigo,1989,1989,5468200.0,2317300.0,2359.7
111.0,Trigo,1990,1990,4773500.0,2006600.0,2378.9
111.0,Trigo,1991,1991,5467700.0,2223400.0,2459.2
111.0,Trigo,1992,1992,4357506.0,2243100.0,1942.6
111.0,Trigo,1993,1993,4972971.0,2030479.0,2449.2
111.0,Trigo,1994,1994,4302340.0,1969650.0,2184.3
111.0,Trigo,1995,1995,3138700.0,2126400.0,1476.1
111.0,Trigo,1996,1996,6040500.0,2012400.0,3001.6
111.0,Trigo,1997,1997,4676290.0,2078550.0,2249.8
111.0,Trigo,1998,1998,5436300.0,1912560.0,2842.4
111.0,Trigo,1999,1999,5083800.0,2422400.0,2098.7
111.0,Trigo,2000,2000,7293623.0,2353027.0,3099.7
111.0,Trigo,2001,2001,5007698.0,2177005.0,2300.3
111.0,Trigo,2002,2002,6822160.0,2406643.0,2834.7
111.0,Trigo,2003,2003,6290100.0,2151500.0,2923.6
111.0,Trigo,2004,2004,7096724.0,2175028.0,3262.8
111.0,Trigo,2005,2005,4026694.0,2274109.0,1770.7
111.0,Trigo,2006,2006,5521582.0,1920233.0,2875.5
111.0,Trigo,2007,2007,6436359.0,1803313.0,3569.2
111.0,Trigo,2008,2008,6714300.0,2067000.0,3248.3
111.0,Trigo,2009,2009,4804772.0,1772752.0,2710.3
111.0,Trigo,2010,2010,5941197.0,1948073.0,3049.8
111.0,Trigo,2011,2011,6876657.0,1994653.0,3447.5
111.0,Trigo,2012,2012,5189828.0,2188171.0,2371.8
111.0,Trigo,2013,2013,7744900.0,2125000.0,3644.7
111.0,Trigo,2014,2014,6471400.0,2171200.0,2980.6
111.0,Trigo,2015,2015,6362694.0,2176354.0,2923.6
111.0,Trigo,2016,2016,7873135.0,2256848.0,3488.6
111.0,Trigo,2017,2017,4875957.0,2096058.0,2326.3
111.0,Trigo,2018,2018,8322510.0,2063680.0,4032.8
111.0,Trigo,2019,2019,6041170.0,1920090.0,3146.3
111.0,Trigo,2020,2020,8143510.0,1914660.0,4253.2
111.0,Trigo,2021,2021,8564630.0,2128470.0,4023.8
111.0,Trigo,2022,2022,6508800.0,2172700.0,2995.7
111.0,Trigo,2023,2023,4049230.0,1957760.0,2068.3
112.0,Maíz,1961,1961,1066800.0,446700.0,2388.2
112.0,Maíz,1962,1962,920399.0,429925.0,2140.8
112.0,Maíz,1963,1963,1171300.0,487144.0,2404.4
112.0,Maíz,1964,1964,1202811.0,514199.0,2339.2
112.0,Maíz,1965,1965,1141857.0,478254.0,2387.6
112.0,Maíz,1966,1966,1154300.0,482200.0,2393.8
112.0,Maíz,1967,1967,1195316.0,477939.0,2501.0
112.0,Maíz,1968,1968,1473100.0,522971.0,2816.8
112.0,Maíz,1969,1969,1507300.0,494400.0,3048.7
112.0,Maíz,1970,1970,1847600.0,539000.0,3427.8
112.0,Maíz,1971,1971,2056300.0,543500.0,3783.4
112.0,Maíz,1972,1972,1922600.0,533700.0,3602.4
112.0,Maíz,1973,1973,2037900.0,522700.0,3898.8
112.0,Maíz,1974,1974,1992500.0,500500.0,3981.0
112.0,Maíz,1975,1975,1793600.0,484900.0,3698.9
112.0,Maíz,1976,1976,1544900.0,431700.0,3578.6
112.0,Maíz,1977,1977,1892200.0,422200.0,4481.8
112.0,Maíz,1978,1978,1969000.0,443277.0,4441.9
112.0,Maíz,1979,1979,2211700.0,466700.0,4739.0
112.0,Maíz,1980,1980,2313600.0,454500.0,5090.4
112.0,Maíz,1981,1981,2156800.0,428700.0,5031.0
112.0,Maíz,1982,1982,2330100.0,418300.0,5570.4
112.0,Maíz,1983,1983,1803400.0,354145.0,5092.3
112.0,Maíz,1984,1984,2529100.0,440180.0,5745.6
112.0,Maíz,1985,1985,3413788.0,526179.0,6487.9
112.0,Maíz,1986,1986,3423700.0,523965.0,6534.2
112.0,Maíz,1987,1987,3557406.0,542195.0,6561.1
112.0,Maíz,1988,1988,3577000.0,556100.0,6432.3
112.0,Maíz,1989,1989,3328000.0,527900.0,6304.2
112.0,Maíz,1990,1990,3041900.0,473400.0,6425.6
112.0,Maíz,1991,1991,3233250.0,484800.0,6669.2
112.0,Maíz,1992,1992,2757500.0,392974.0,7017.0
112.0,Maíz,1993,1993,1632929.0,264500.0,6173.6
112.0,Maíz,1994,1994,2343600.0,341800.0,6856.6
112.0,Maíz,1995,1995,2590400.0,357500.0,7245.9
112.0,Maíz,1996,1996,3751000.0,439700.0,8530.8
112.0,Maíz,1997,1997,4451502.0,486500.0,9150.1
112.0,Maíz,1998,1998,4349100.0,459100.0,9473.1
112.0,Maíz,1999,1999,3768600.0,397500.0,9480.8
112.0,Maíz,2000,2000,3991752.0,433146.0,9215.7
112.0,Maíz,2001,2001,4981901.0,512500.0,9720.8
112.0,Maíz,2002,2002,4425373.0,465134.0,9514.2
112.0,Maíz,2003,2003,4338700.0,479900.0,9040.8
112.0,Maíz,2004,2004,4831147.0,479801.0,10069.1
112.0,Maíz,2005,2005,3981370.0,414298.0,9609.9
112.0,Maíz,2006,2006,3355722.0,344400.0,9743.7
112.0,Maíz,2007,2007,3610937.0,360998.0,10002.7
112.0,Maíz,2008,2008,3628600.0,366300.0,9906.1
112.0,Maíz,2009,2009,3515617.0,348949.0,10074.9
112.0,Maíz,2010,2010,3324821.0,314990.0,10555.3
112.0,Maíz,2011,2011,4199927.0,369264.0,11373.8
112.0,Maíz,2012,2012,4262116.0,390433.0,10916.4
112.0,Maíz,2013,2013,4885000.0,442300.0,11044.5
112.0,Maíz,2014,2014,4776190.0,418545.0,11411.4
112.0,Maíz,2015,2015,4564416.0,398257.0,11461.0
112.0,Maíz,2016,2016,4069508.0,359275.0,11327.0
112.0,Maíz,2017,2017,3775645.0,333628.0,11316.9
112.0,Maíz,2018,2018,3842520.0,322370.0,11919.6
112.0,Maíz,2019,2019,4184460.0,356830.0,11726.8
112.0,Maíz,2020,2020,4214100.0,343780.0,12258.1
112.0,Maíz,2021,2021,4597660.0,358270.0,12832.9
112.0,Maíz,2022,2022,3590260.0,314290.0,11423.4
112.0,Maíz,2023,2023,2835360.0,239900.0,11818.9
113.0,Arroz,1961,1961,393500.0,61900.0,6357.0
113.0,Arroz,1962,1962,392400.0,63040.0,6224.6
113.0,Arroz,1963,1963,398600.0,62700.0,6357.3
113.0,Arroz,1964,1964,398060.0,64088.0,6211.1
113.0,Arroz,1965,1965,349634.0,58998.0,5926.2
113.0,Arroz,1966,1966,375400.0,59100.0,6351.9
113.0,Arroz,1967,1967,365878.0,59810.0,6117.3
113.0,Arroz,1968,1968,362134.0,60468.0,5988.9
113.0,Arroz,1969,1969,410500.0,63600.0,6454.4
113.0,Arroz,1970,1970,381642.0,64155.0,5948.7
113.0,Arroz,1971,1971,360900.0,61100.0,5906.7
113.0,Arroz,1972,1972,345800.0,59100.0,5851.1
113.0,Arroz,1973,1973,386500.0,61400.0,6294.8
113.0,Arroz,1974,1974,366900.0,61200.0,5995.1
113.0,Arroz,1975,1975,378700.0,62100.0,6098.2
113.0,Arroz,1976,1976,406200.0,64000.0,6346.9
113.0,Arroz,1977,1977,379200.0,67900.0,5584.7
113.0,Arroz,1978,1978,401244.0,68292.0,5875.4
113.0,Arroz,1979,1979,427000.0,68600.0,6224.5
113.0,Arroz,1980,1980,433200.0,68400.0,6333.3
113.0,Arroz,1981,1981,444000.0,69000.0,6434.8
113.0,Arroz,1982,1982,401900.0,67600.0,5945.3
113.0,Arroz,1983,1983,224000.0,40800.0,5490.2
113.0,Arroz,1984,1984,440400.0,73000.0,6032.9
113.0,Arroz,1985,1985,462253.0,74581.0,6198.0
113.0,Arroz,1986,1986,496318.0,78476.0,6324.5
113.0,Arroz,1987,1987,483269.0,76365.0,6328.4
113.0,Arroz,1988,1988,506600.0,79900.0,6340.4
113.0,Arroz,1989,1989,341700.0,58500.0,5841.0
113.0,Arroz,1990,1990,571330.0,90387.0,6320.9
113.0,Arroz,1991,1991,581836.0,93721.0,6208.2
113.0,Arroz,1992,1992,552600.0,85699.0,6448.1
113.0,Arroz,1993,1993,323093.0,48444.0,6669.4
113.0,Arroz,1994,1994,407600.0,66700.0,6110.9
113.0,Arroz,1995,1995,329500.0,54500.0,6045.9
113.0,Arroz,1996,1996,734000.0,105100.0,6983.8
113.0,Arroz,1997,1997,775588.0,113565.0,6829.5
113.0,Arroz,1998,1998,796300.0,112700.0,7065.7
113.0,Arroz,1999,1999,845100.0,112100.0,7538.8
113.0,Arroz,2000,2000,827051.0,117045.0,7066.1
113.0,Arroz,2001,2001,876148.0,115594.0,7579.5
113.0,Arroz,2002,2002,818920.0,113468.0,7217.2
113.0,Arroz,2003,2003,855000.0,117500.0,7276.6
113.0,Arroz,2004,2004,883131.0,122632.0,7201.5
113.0,Arroz,2005,2005,824114.0,119150.0,6916.6
113.0,Arroz,2006,2006,724351.0,106535.0,6799.2
113.0,Arroz,2007,2007,723426.0,101565.0,7122.8
113.0,Arroz,2008,2008,665200.0,96100.0,6922.0
113.0,Arroz,2009,2009,913754.0,119300.0,7659.3
113.0,Arroz,2010,2010,927817.0,122184.0,7593.6
113.0,Arroz,2011,2011,927554.0,122368.0,7580.0
113.0,Arroz,2012,2012,899602.0,112819.0,7973.9
113.0,Arroz,2013,2013,872500.0,112000.0,7790.2
113.0,Arroz,2014,2014,861103.0,110419.0,7798.5
113.0,Arroz,2015,2015,847026.0,109290.0,7750.3
113.0,Arroz,2016,2016,835400.0,109272.0,7645.1
113.0,Arroz,2017,2017,835178.0,107604.0,7761.6
113.0,Arroz,2018,2018,798880.0,105010.0,7607.7
113.0,Arroz,2019,2019,778780.0,103370.0,7533.9
113.0,Arroz,2020,2020,739230.0,102060.0,7243.1
113.0,Arroz,2021,2021,617180.0,84680.0,7288.4
113.0,Arroz,2022,2022,350420.0,56040.0,6253.0
113.0,Arroz,2023,2023,334100.0,55120.0,6061.3
114.0,Sorgo,1961,1961,519.0,755.0,687.4
114.0,Sorgo,1962,1962,508.0,675.0,752.6
114.0,Sorgo,1963,1963,1370.0,1565.0,875.4
114.0,Sorgo,1964,1964,50900.0,21595.0,2357.0
114.0,Sorgo,1965,1965,42800.0,20000.0,2140.0
114.0,Sorgo,1966,1966,39800.0,25500.0,1560.8
114.0,Sorgo,1967,1967,44098.0,17469.0,2524.4
114.0,Sorgo,1968,1968,91128.0,31534.0,2889.8
114.0,Sorgo,1969,1969,142030.0,48626.0,2920.9
114.0,Sorgo,1970,1970,189500.0,47000.0,4031.9
114.0,Sorgo,1971,1971,173100.0,41500.0,4171.1
114.0,Sorgo,1972,1972,177500.0,44300.0,4006.8
114.0,Sorgo,1973,1973,164200.0,43300.0,3792.1
114.0,Sorgo,1974,1974,157300.0,36600.0,4297.8
114.0,Sorgo,1975,1975,144200.0,34700.0,4155.6
114.0,Sorgo,1976,1976,158900.0,37510.0,4236.2
114.0,Sorgo,1977,1977,192000.0,41309.0,4647.9
114.0,Sorgo,1978,1978,283700.0,53518.0,5301.0
114.0,Sorgo,1979,1979,215400.0,43075.0,5000.6
114.0,Sorgo,1980,1980,185800.0,38234.0,4859.5
114.0,Sorgo,1981,1981,143100.0,33695.0,4246.9
114.0,Sorgo,1982,1982,114500.0,27433.0,4173.8
114.0,Sorgo,1983,1983,78900.0,20218.0,3902.5
114.0,Sorgo,1984,1984,95200.0,20686.0,4602.1
114.0,Sorgo,1985,1985,98469.0,20605.0,4778.9
114.0,Sorgo,1986,1986,97284.0,19044.0,5108.4
114.0,Sorgo,1987,1987,77936.0,15005.0,5194.0
114.0,Sorgo,1988,1988,98000.0,18000.0,5444.4
114.0,Sorgo,1989,1989,120700.0,21100.0,5720.4
114.0,Sorgo,1990,1990,88900.0,16700.0,5323.4
114.0,Sorgo,1991,1991,104000.0,18700.0,5561.5
114.0,Sorgo,1992,1992,48900.0,8700.0,5620.7
114.0,Sorgo,1993,1993,22305.0,4885.0,4566.0
114.0,Sorgo,1994,1994,77800.0,20500.0,3795.1
114.0,Sorgo,1995,1995,27500.0,6400.0,4296.9
114.0,Sorgo,1996,1996,43900.0,9300.0,4720.4
114.0,Sorgo,1997,1997,48576.0,10198.0,4763.3
114.0,Sorgo,1998,1998,57100.0,12600.0,4531.7
114.0,Sorgo,1999,1999,47000.0,9400.0,5000.0
114.0,Sorgo,2000,2000,41587.0,8842.0,4703.3
114.0,Sorgo,2001,2001,33084.0,8548.0,3870.4
114.0,Sorgo,2002,2002,28846.0,7597.0,3797.0
114.0,Sorgo,2003,2003,21315.0,6420.0,3320.1
114.0,Sorgo,2004,2004,24581.0,7155.0,3435.5
114.0,Sorgo,2005,2005,22119.0,6511.0,3397.2
114.0,Sorgo,2006,2006,20519.0,5420.0,3785.8
114.0,Sorgo,2007,2007,26000.0,7100.0,3662.0
114.0,Sorgo,2008,2008,22397.0,6829.0,3279.7
114.0,Sorgo,2009,2009,32782.0,7541.0,4347.2
114.0,Sorgo,2010,2010,36561.0,7140.0,5120.6
114.0,Sorgo,2011,2011,36643.0,8482.0,4320.1
114.0,Sorgo,2012,2012,27400.0,7700.0,3558.4
114.0,Sorgo,2013,2013,45100.0,9000.0,5011.1
114.0,Sorgo,2014,2014,47661.0,7288.0,6539.7
114.0,Sorgo,2015,2015,50335.0,8375.0,6010.1
114.0,Sorgo,2016,2016,36361.0,8124.0,4475.8
114.0,Sorgo,2017,2017,30138.0,6958.0,4331.4
114.0,Sorgo,2018,2018,26180.0,5970.0,4385.3
114.0,Sorgo,2019,2019,25730.0,6560.0,3922.3
114.0,Sorgo,2020,2020,21560.0,5250.0,4106.7
114.0,Sorgo,2021,2021,16490.0,4330.0,3808.3
114.0,Sorgo,2022,2022,14970.0,4710.0,3178.3
114.0,Sorgo,2023,2023,31380.0,6510.0,4820.3
115.0,Cebada,1961,1961,1743700.0,1450000.0,1202.6
115.0,Cebada,1962,1962,2161952.0,1449395.0,1491.6
115.0,Cebada,1963,1963,2070700.0,1447100.0,1430.9
115.0,Cebada,1964,1964,1926900.0,1381000.0,1395.3
115.0,Cebada,1965,1965,1891447.0,1374410.0,1376.2
115.0,Cebada,1966,1966,2006300.0,1337800.0,1499.7
115.0,Cebada,1967,1967,2575765.0,1499817.0,1717.4
115.0,Cebada,1968,1968,3440975.0,1922972.0,1789.4
115.0,Cebada,1969,1969,3877300.0,2109979.0,1837.6
115.0,Cebada,1970,1970,3103200.0,2224100.0,1395.3
115.0,Cebada,1971,1971,4784700.0,2371300.0,2017.8
115.0,Cebada,1972,1972,4358300.0,2519500.0,1729.8
115.0,Cebada,1973,1973,4402200.0,2773400.0,1587.3
115.0,Cebada,1974,1974,5404000.0,3026600.0,1785.5
115.0,Cebada,1975,1975,6728000.0,3262000.0,2062.5
115.0,Cebada,1976,1976,5472900.0,3240000.0,1689.2
115.0,Cebada,1977,1977,6766000.0,3348000.0,2020.9
115.0,Cebada,1978,1978,8068307.0,3518927.0,2292.8
115.0,Cebada,1979,1979,6251700.0,3477400.0,1797.8
115.0,Cebada,1980,1980,8705000.0,3575100.0,2434.9
115.0,Cebada,1981,1981,4757600.0,3507900.0,1356.3
115.0,Cebada,1982,1982,5269800.0,3615200.0,1457.7
115.0,Cebada,1983,1983,6662000.0,3734900.0,1783.7
115.0,Cebada,1984,1984,10789100.0,4022908.0,2681.9
115.0,Cebada,1985,1985,10698287.0,4245580.0,2519.9
115.0,Cebada,1986,1986,7431014.0,4340320.0,1712.1
115.0,Cebada,1987,1987,9836230.0,4400605.0,2235.2
115.0,Cebada,1988,1988,12070000.0,4257300.0,2835.1
115.0,Cebada,1989,1989,9393900.0,4311700.0,2178.7
115.0,Cebada,1990,1990,9382100.0,4357800.0,2152.9
115.0,Cebada,1991,1991,9262486.0,4412800.0,2099.0
115.0,Cebada,1992,1992,6105000.0,4112165.0,1484.6
115.0,Cebada,1993,1993,9700797.0,3540925.0,2739.6
115.0,Cebada,1994,1994,7415500.0,3539500.0,2095.1
115.0,Cebada,1995,1995,5046600.0,3555900.0,1419.2
115.0,Cebada,1996,1996,10697000.0,3572200.0,2994.5
115.0,Cebada,1997,1997,8549540.0,3682160.0,2321.9
115.0,Cebada,1998,1998,10895300.0,3535200.0,3081.9
115.0,Cebada,1999,1999,7434300.0,3106600.0,2393.1
115.0,Cebada,2000,2000,11063008.0,3278025.0,3374.9
115.0,Cebada,2001,2001,6249139.0,2992088.0,2088.6
115.0,Cebada,2002,2002,8362328.0,3101524.0,2696.2
115.0,Cebada,2003,2003,8698400.0,3170400.0,2743.6
115.0,Cebada,2004,2004,10639817.0,3178755.0,3347.2
115.0,Cebada,2005,2005,4626059.0,3156123.0,1465.7
115.0,Cebada,2006,2006,8136389.0,3197365.0,2544.7
115.0,Cebada,2007,2007,11945319.0,3228357.0,3700.1
115.0,Cebada,2008,2008,11261100.0,3462400.0,3252.4
115.0,Cebada,2009,2009,7295934.0,3024726.0,2412.1
115.0,Cebada,2010,2010,8154392.0,2885612.0,2825.9
115.0,Cebada,2011,2011,8287073.0,2700679.0,3068.5
115.0,Cebada,2012,2012,5956300.0,2691100.0,2213.3
115.0,Cebada,2013,2013,10005000.0,2784300.0,3593.4
115.0,Cebada,2014,2014,6983109.0,2792110.0,2501.0
115.0,Cebada,2015,2015,6705106.0,2598896.0,2580.0
115.0,Cebada,2016,2016,9176159.0,2563195.0,3580.0
115.0,Cebada,2017,2017,5785944.0,2597527.0,2227.5
115.0,Cebada,2018,2018,9554160.0,2569460.0,3718.4
115.0,Cebada,2019,2019,7744150.0,2693510.0,2875.1
115.0,Cebada,2020,2020,11465350.0,2749040.0,4170.7
115.0,Cebada,2021,2021,9275920.0,2514560.0,3688.9
115.0,Cebada,2022,2022,7029720.0,2398000.0,2931.5
115.0,Cebada,2023,2023,3757570.0,2342260.0,1604.2
116.0,Centeno,1961,1961,351200.0,485075.0,724.0
116.0,Centeno,1962,1962,452700.0,486240.0,931.0
116.0,Centeno,1963,1963,423600.0,437770.0,967.6
116.0,Centeno,1964,1964,346430.0,406330.0,852.6
116.0,Centeno,1965,1965,348969.0,392941.0,888.1
116.0,Centeno,1966,1966,325800.0,383600.0,849.3
116.0,Centeno,1967,1967,335937.0,397652.0,844.8
116.0,Centeno,1968,1968,355100.0,365683.0,971.1
116.0,Centeno,1969,1969,344900.0,352600.0,978.2
116.0,Centeno,1970,1970,258800.0,313200.0,826.3
116.0,Centeno,1971,1971,271800.0,294300.0,923.5
116.0,Centeno,1972,1972,263400.0,278400.0,946.1
116.0,Centeno,1973,1973,252100.0,268200.0,940.0
116.0,Centeno,1974,1974,254000.0,249000.0,1020.1
116.0,Centeno,1975,1975,240500.0,227500.0,1057.1
116.0,Centeno,1976,1976,213900.0,223900.0,955.3
116.0,Centeno,1977,1977,227700.0,236100.0,964.4
116.0,Centeno,1978,1978,250600.0,228369.0,1097.3
116.0,Centeno,1979,1979,221000.0,219600.0,1006.4
116.0,Centeno,1980,1980,283900.0,217000.0,1308.3
116.0,Centeno,1981,1981,212300.0,220400.0,963.2
116.0,Centeno,1982,1982,169100.0,211900.0,798.0
116.0,Centeno,1983,1983,252600.0,217300.0,1162.4
116.0,Centeno,1984,1984,315100.0,230528.0,1366.9
116.0,Centeno,1985,1985,272800.0,211300.0,1291.1
116.0,Centeno,1986,1986,219882.0,221088.0,994.5
116.0,Centeno,1987,1987,318784.0,221941.0,1436.3
116.0,Centeno,1988,1988,357000.0,221000.0,1615.4
116.0,Centeno,1989,1989,331700.0,223000.0,1487.4
116.0,Centeno,1990,1990,267300.0,202200.0,1322.0
116.0,Centeno,1991,1991,236900.0,186700.0,1268.9
116.0,Centeno,1992,1992,207291.0,179500.0,1154.8
116.0,Centeno,1993,1993,333181.0,174928.0,1904.7
116.0,Centeno,1994,1994,206700.0,153885.0,1343.2
116.0,Centeno,1995,1995,168300.0,165200.0,1018.8
116.0,Centeno,1996,1996,295700.0,167100.0,1769.6
116.0,Centeno,1997,1997,211753.0,142807.0,1482.8
116.0,Centeno,1998,1998,207400.0,124300.0,1668.5
116.0,Centeno,1999,1999,219700.0,122200.0,1797.9
116.0,Centeno,2000,2000,220044.0,109609.0,2007.5
116.0,Centeno,2001,2001,101452.0,102058.0,994.1
116.0,Centeno,2002,2002,176556.0,102103.0,1729.2
116.0,Centeno,2003,2003,184400.0,91300.0,2019.7
116.0,Centeno,2004,2004,162718.0,90669.0,1794.6
116.0,Centeno,2005,2005,129096.0,88746.0,1454.7
116.0,Centeno,2006,2006,164997.0,106073.0,1555.5
116.0,Centeno,2007,2007,261369.0,111744.0,2339.0
116.0,Centeno,2008,2008,283212.0,111513.0,2539.7
116.0,Centeno,2009,2009,180666.0,132161.0,1367.0
116.0,Centeno,2010,2010,258380.0,135488.0,1907.0
116.0,Centeno,2011,2011,366700.0,149321.0,2455.8
116.0,Centeno,2012,2012,256675.0,161702.0,1587.3
116.0,Centeno,2013,2013,384300.0,155700.0,2468.2
116.0,Centeno,2014,2014,290970.0,170185.0,1709.7
116.0,Centeno,2015,2015,331930.0,179048.0,1853.9
116.0,Centeno,2016,2016,377355.0,155256.0,2430.5
116.0,Centeno,2017,2017,139178.0,108080.0,1287.7
116.0,Centeno,2018,2018,404280.0,136250.0,2967.2
116.0,Centeno,2019,2019,261550.0,138090.0,1894.1
116.0,Centeno,2020,2020,407620.0,137590.0,2962.6
116.0,Centeno,2021,2021,315750.0,118200.0,2671.3
116.0,Centeno,2022,2022,188880.0,99620.0,1896.0
116.0,Centeno,2023,2023,121970.0,84010.0,1451.9
117.0,Avena,1961,1961,494900.0,582900.0,849.0
117.0,Avena,1962,1962,512953.0,548945.0,934.4
117.0,Avena,1963,1963,465700.0,527263.0,883.2
117.0,Avena,1964,1964,389567.0,508545.0,766.0
117.0,Avena,1965,1965,369700.0,501624.0,737.0
117.0,Avena,1966,1966,442100.0,469000.0,942.6
117.0,Avena,1967,1967,492269.0,485617.0,1013.7
117.0,Avena,1968,1968,538913.0,507847.0,1061.2
117.0,Avena,1969,1969,537300.0,506200.0,1061.4
117.0,Avena,1970,1970,393400.0,473000.0,831.7
117.0,Avena,1971,1971,581900.0,462700.0,1257.6
117.0,Avena,1972,1972,439700.0,467200.0,941.1
117.0,Avena,1973,1973,425100.0,470500.0,903.5
117.0,Avena,1974,1974,558600.0,475200.0,1175.5
117.0,Avena,1975,1975,609300.0,457200.0,1332.7
117.0,Avena,1976,1976,527800.0,454500.0,1161.3
117.0,Avena,1977,1977,417600.0,405500.0,1029.8
117.0,Avena,1978,1978,553200.0,441900.0,1251.9
117.0,Avena,1979,1979,456200.0,436300.0,1045.6
117.0,Avena,1980,1980,680100.0,458100.0,1484.6
117.0,Avena,1981,1981,444900.0,463700.0,959.5
117.0,Avena,1982,1982,443400.0,441500.0,1004.3
117.0,Avena,1983,1983,463600.0,454100.0,1020.9
117.0,Avena,1984,1984,787900.0,479290.0,1643.9
117.0,Avena,1985,1985,679902.0,459038.0,1481.1
117.0,Avena,1986,1986,433143.0,393475.0,1100.8
117.0,Avena,1987,1987,501910.0,352727.0,1422.9
117.0,Avena,1988,1988,555000.0,360000.0,1541.7
117.0,Avena,1989,1989,507600.0,358900.0,1414.3
117.0,Avena,1990,1990,511600.0,348700.0,1467.2
117.0,Avena,1991,1991,403600.0,324800.0,1242.6
117.0,Avena,1992,1992,313100.0,313800.0,997.8
117.0,Avena,1993,1993,431101.0,314988.0,1368.6
117.0,Avena,1994,1994,413900.0,347500.0,1191.1
117.0,Avena,1995,1995,231400.0,366800.0,630.9
117.0,Avena,1996,1996,664300.0,391300.0,1697.7
117.0,Avena,1997,1997,520643.0,399811.0,1302.2
117.0,Avena,1998,1998,725600.0,413200.0,1756.1
117.0,Avena,1999,1999,530800.0,409500.0,1296.2
117.0,Avena,2000,2000,953692.0,432137.0,2206.9
117.0,Avena,2001,2001,665200.0,445926.0,1491.7
117.0,Avena,2002,2002,916000.0,455185.0,2012.4
117.0,Avena,2003,2003,873400.0,477000.0,1831.0
117.0,Avena,2004,2004,1042975.0,479801.0,2173.8
117.0,Avena,2005,2005,542108.0,457847.0,1184.0
117.0,Avena,2006,2006,948185.0,524389.0,1808.2
117.0,Avena,2007,2007,1309450.0,531432.0,2464.0
117.0,Avena,2008,2008,1188300.0,505511.0,2350.7
117.0,Avena,2009,2009,923946.0,561238.0,1646.3
117.0,Avena,2010,2010,1024661.0,511329.0,2003.9
117.0,Avena,2011,2011,1119214.0,508344.0,2201.7
117.0,Avena,2012,2012,683500.0,438700.0,1558.0
117.0,Avena,2013,2013,957700.0,444500.0,2154.6
117.0,Avena,2014,2014,649097.0,430280.0,1508.5
117.0,Avena,2015,2015,790432.0,490041.0,1613.0
117.0,Avena,2016,2016,1110117.0,509849.0,2177.3
117.0,Avena,2017,2017,843259.0,558767.0,1509.1
117.0,Avena,2018,2018,1547460.0,556500.0,2780.7
117.0,Avena,2019,2019,841200.0,453430.0,1855.2
117.0,Avena,2020,2020,1377690.0,506170.0,2721.8
117.0,Avena,2021,2021,1194500.0,504000.0,2370.0
117.0,Avena,2022,2022,867850.0,459120.0,1890.2
117.0,Avena,2023,2023,464140.0,466760.0,994.4
118.0,Mijo,1961,1961,7050.0,4320.0,1631.9
118.0,Mijo,1962,1962,6964.0,4360.0,1597.2
118.0,Mijo,1963,1963,15844.0,9930.0,1595.6
118.0,Mijo,1964,1964,6700.0,3890.0,1722.4
118.0,Mijo,1965,1965,4524.0,2346.0,1928.4
118.0,Mijo,1966,1966,4300.0,2100.0,2047.6
118.0,Mijo,1967,1967,4567.0,2041.0,2237.6
118.0,Mijo,1968,1968,3844.0,1408.0,2730.1
118.0,Mijo,1969,1969,3400.0,1184.0,2871.6
118.0,Mijo,1970,1970,3100.0,1200.0,2583.3
118.0,Mijo,1971,1971,600.0,400.0,1500.0
118.0,Mijo,1972,1972,600.0,300.0,2000.0
118.0,Mijo,1973,1973,700.0,500.0,1400.0
118.0,Mijo,1974,1974,1100.0,600.0,1833.3
