Código del producto (CPC),Producto,Código del año,Año,Produccion(toneladas),Area_cosechada(ha),Rendimiento(kg/ha),temp_media,dias_calefaccion,dias_refrigeracion,dias_helada,temp_max,temp_max_media,temp_max_min,temp_min_max,temp_min_media,temp_min,rango_temp_anual,rango_temp_media,temp_stress,helada_stress,temp_media_prev_year,dias_helada_prev_year,temp_max_prev_year,temp_min_prev_year,dias_calefaccion_prev_year,dias_refrigeracion_prev_year,rendimiento_prev_year
1450.0,"Aceitunas, olivas",1980,1980,2255000.0,1156500.0,1949.8,285.60237411370053,1840.1701314805964,167.40665786397477,46.08480320164778,304.93182225494775,289.3367437354262,273.4413353395484,295.0939183244461,282.2211016337421,267.25546527414195,37.67635698080579,7.115642101684102,1,1,,,,,,,
1450.0,"Aceitunas, olivas",1981,1981,1520800.0,2045000.0,743.7,286.15336980101773,1701.725095182686,181.5202583010668,47.35913560446631,304.5188344697658,290.060758674121,273.42371220470864,294.2026530444274,282.57587209627405,267.62636896441984,36.89246550534597,7.484886577846964,1,1,285.60237411370053,46.08480320164778,304.93182225494775,267.25546527414195,1840.1701314805964,167.40665786397477,1949.8
1450.0,"Aceitunas, olivas",1982,1982,3337900.0,2045800.0,1631.6,286.366110211404,1660.305388005183,201.58827417768808,39.71976149546507,304.8208280332075,290.1132202802975,276.41372431035563,294.7536991277708,282.99919493117187,270.61675896249267,34.20406907071481,7.114025349125654,1,1,286.15336980101773,47.35913560446631,304.5188344697658,267.62636896441984,1701.725095182686,181.5202583010668,743.7
1450.0,"Aceitunas, olivas",1983,1983,1328400.0,2050400.0,647.9,286.22509829735003,1689.456832621631,189.69572668607495,46.498697409580224,305.86578851253654,290.21543372096465,273.4523590956287,294.99532126680026,282.6436566785409,266.45493320138434,39.410855311152204,7.571777042423776,1,1,286.366110211404,39.71976149546507,304.8208280332075,270.61675896249267,1660.305388005183,201.58827417768808,1631.6
1450.0,"Aceitunas, olivas",1984,1984,3525400.0,2039100.0,1728.9,285.71959963110544,1774.151377462558,153.54839786917248,42.21003118155612,305.2310488893015,289.3973742708826,275.5560486708844,294.2954747030497,282.36215440556526,270.0676716724995,35.16337721680202,7.035219865317345,1,1,286.22509829735003,46.498697409580224,305.86578851253654,266.45493320138434,1689.456832621631,189.69572668607495,647.9
1450.0,"Aceitunas, olivas",1985,1985,1989500.0,2051000.0,970.0,286.12425196462146,1774.6626438335018,214.34811322523743,45.44325407616451,305.58939005145027,290.04986870506195,270.4639720856351,294.491991789422,282.5160128372668,263.41736016054926,42.172029890901,7.5338558677951255,1,1,285.71959963110544,42.21003118155612,305.2310488893015,270.0676716724995,1774.151377462558,153.54839786917248,1728.9
1450.0,"Aceitunas, olivas",1986,1986,2556800.0,2063000.0,1239.4,286.1463643311997,1739.0403115003749,199.28390030364625,44.8389397750507,304.4651435222871,289.9551289273051,273.5729569933569,294.5101561857941,282.68571384385285,267.3567962792305,37.10834724305664,7.269415083452259,1,1,286.12425196462146,45.44325407616451,305.58939005145027,263.41736016054926,1774.6626438335018,214.34811322523743,970.0
1450.0,"Aceitunas, olivas",1987,1987,3879000.0,2057000.0,1885.8,286.276671125904,1730.5995597725855,229.05907507738775,43.94747629802164,305.40776867142733,289.96606385886406,271.9160075500288,295.3951562906774,282.88661919224614,265.3994660333039,40.00830263812344,7.079444666617917,1,1,286.1463643311997,44.8389397750507,304.4651435222871,267.3567962792305,1739.0403115003749,199.28390030364625,1239.4
1450.0,"Aceitunas, olivas",1988,1988,2223700.0,2035000.0,1092.7,286.44090504412975,1659.6212537681035,229.15237187442304,41.52145773189021,306.26563511055105,290.2329184686123,275.99076282302065,295.6173926702252,283.0266875173501,269.5103503599107,36.75528475064033,7.206230951262171,1,1,286.276671125904,43.94747629802164,305.40776867142733,265.3994660333039,1730.5995597725855,229.05907507738775,1885.8
1450.0,"Aceitunas, olivas",1989,1989,2945700.0,2054000.0,1434.1,286.598661836238,1544.074234204891,194.28708887597077,37.88625946209817,304.3973111853461,290.5070607884552,277.2867086505005,294.93523594628664,283.13259055131397,270.48784275833583,33.90946842701027,7.3744702371412245,1,1,286.44090504412975,41.52145773189021,306.26563511055105,269.5103503599107,1659.6212537681035,229.15237187442304,1092.7
1450.0,"Aceitunas, olivas",1990,1990,3369300.0,2064000.0,1632.4,286.7613251628369,1551.9973733125578,211.29067423261063,37.30386101241251,304.6910103666327,290.68766910766624,276.2722423251612,294.59152376439874,283.2214612971413,269.59743264397844,35.09357772265429,7.466207810524963,1,1,286.598661836238,37.88625946209817,304.3973111853461,270.48784275833583,1544.074234204891,194.28708887597077,1434.1
1450.0,"Aceitunas, olivas",1991,1991,2983000.0,2074000.0,1438.3,285.86107638983736,1831.7681104614685,216.0618870151843,46.451463895499785,304.72677621540515,289.5849695552413,272.6799077005935,294.983310733039,282.49006806921346,266.0865653388213,38.640210876583865,7.094901486027823,1,1,286.7613251628369,37.30386101241251,304.6910103666327,269.59743264397844,1551.9973733125578,211.29067423261063,1632.4
1450.0,"Aceitunas, olivas",1992,1992,3177900.0,2051000.0,1549.4,286.25588007488756,1690.4074778838421,197.93469691337728,43.84507307560949,305.0396935998257,290.11425890353786,275.370593265009,295.2563239278345,282.7671826129292,269.34841992701166,35.69127367281402,7.347076290608641,1,1,285.86107638983736,46.451463895499785,304.72677621540515,266.0865653388213,1831.7681104614685,216.0618870151843,1438.3
