Real,Predicho,Producto,Año,Error_Absoluto,Error_Porcentual,Region
17075.999999999993,19796.961258130952,Raíces de achicoria,1969,2720.9612581309593,15.9344182368878,No asignado
12777.999999999993,17111.262410802763,Raíces de achicoria,1970,4333.26241080277,33.91189866021892,No asignado
16600.000000000007,13578.463569976031,Raíces de achicoria,1971,3021.536430023976,18.202026686891415,No asignado
5219.999999999996,17198.29701020224,Raíces de achicoria,1972,11978.297010202245,229.46929138318492,No asignado
16904.00000000001,8143.768261222512,Raíces de achicoria,1974,8760.2317387775,51.82342486262124,No asignado
19551.000000000015,16727.59431789206,Raíces de achicoria,1975,2823.405682107954,14.441234116454154,No asignado
19024.00000000001,22204.517160409396,Raíces de achicoria,1976,3180.517160409385,16.718445965146042,No asignado
34201.00000000001,19965.140672042,Raíces de achicoria,1977,14235.859327958009,41.62410259336863,No asignado
27857.000000000007,33926.565807397805,Raíces de achicoria,1978,6069.5658073977975,21.788296684487907,No asignado
25846.999999999993,27156.7683960384,Raíces de achicoria,1979,1309.7683960384056,5.067390397486772,No asignado
24010.000000000007,24901.269228816484,Raíces de achicoria,1980,891.2692288164762,3.712075088781658,No asignado
21360.000000000004,20915.477674203426,Raíces de achicoria,1981,444.5223257965772,2.0810970308828516,No asignado
21865.999999999996,21477.59521236215,Raíces de achicoria,1982,388.4047876378463,1.7762955622329022,No asignado
20467.999999999996,21662.9254064735,Raíces de achicoria,1983,1194.9254064735032,5.838017424631149,No asignado
20003.000000000015,20748.49041267512,Raíces de achicoria,1984,745.4904126751062,3.7268930294211153,No asignado
26760.000000000022,20300.323928632795,Raíces de achicoria,1985,6459.6760713672265,24.139297725587525,No asignado
20233.99999999999,26635.379031184377,Raíces de achicoria,1986,6401.379031184388,31.636745236653113,No asignado
26611.0,20596.479111396908,Raíces de achicoria,1987,6014.520888603092,22.601634243745412,No asignado
36431.999999999985,26424.90956664781,Raíces de achicoria,1988,10007.090433352176,27.467859116579323,No asignado
31329.000000000015,31960.719810141378,Raíces de achicoria,1989,631.7198101413633,2.016405918290922,No asignado
16647.999999999993,30140.95053134312,Raíces de achicoria,1990,13492.950531343125,81.04847748283956,No asignado
11062.00000000001,15547.239538260641,Raíces de achicoria,1991,4485.239538260632,40.54637080329622,No asignado
11511.999999999989,10589.574281326692,Raíces de achicoria,1992,922.4257186732975,8.012732094104399,No asignado
8038.999999999995,11461.064328289389,Raíces de achicoria,1993,3422.0643282893934,42.568283720480096,No asignado
5523.000000000003,8548.446556870811,Raíces de achicoria,1994,3025.4465568708083,54.77904321692571,No asignado
4908.000000000003,6105.690382838608,Raíces de achicoria,1995,1197.6903828386048,24.40281953623888,No asignado
6798.0000000000055,5316.8066847596065,Raíces de achicoria,1996,1481.193315240399,21.788663066201792,No asignado
6097.0,6939.549699050767,Raíces de achicoria,1997,842.5496990507672,13.81908642038326,No asignado
6000.000000000005,6397.456275633763,Raíces de achicoria,1998,397.4562756337582,6.624271260562632,No asignado
5654.000000000003,6260.333253045157,Raíces de achicoria,1999,606.3332530451544,10.72396980978341,No asignado
6050.0,5503.072311499938,Raíces de achicoria,2000,546.9276885000618,9.040127082645649,No asignado
6000.000000000005,6474.036903162922,Raíces de achicoria,2001,474.03690316291704,7.900615052715278,No asignado
5514.930000000001,5746.983804979826,Raíces de achicoria,2002,232.05380497982514,4.207737994495399,No asignado
4948.159999999996,5278.630418826574,Raíces de achicoria,2003,330.47041882657777,6.678652647177497,No asignado
4531.460000000002,5297.580591330308,Raíces de achicoria,2004,766.1205913303065,16.906705373771505,No asignado
4693.079999999998,4649.397144303027,Raíces de achicoria,2005,43.682855696971274,0.9307929056604892,No asignado
4000.0000000000014,4997.142537821351,Raíces de achicoria,2006,997.1425378213494,24.928563445533726,No asignado
1599.9999999999995,4319.016633198418,Raíces de achicoria,2007,2719.0166331984187,169.93853957490123,No asignado
999.9999999999999,1787.7186594068514,Raíces de achicoria,2008,787.7186594068515,78.77186594068516,No asignado
800.0000000000003,1239.9431133683377,Raíces de achicoria,2009,439.9431133683373,54.99288917104214,No asignado
274.9999999999999,851.335075565021,Raíces de achicoria,2010,576.3350755650212,209.57639111455322,No asignado
299.9999999999999,330.80930372214357,Raíces de achicoria,2011,30.80930372214368,10.269767907381231,No asignado
539.9999999999998,314.25163892054127,Raíces de achicoria,2012,225.7483610794585,41.80525205175159,No asignado
270.00000000000006,410.6878166038087,Raíces de achicoria,2013,140.68781660380864,52.106598742151334,No asignado
369.99999999999994,255.28607186140124,Raíces de achicoria,2014,114.7139281385987,31.003764361783436,No asignado
393.33,366.7650183673947,Raíces de achicoria,2015,26.56498163260528,6.75386612579902,No asignado
5480.000000000005,432.5922491290514,Raíces de achicoria,2016,5047.407750870953,92.10598085530928,No asignado
2395.0,5230.0510077857625,Raíces de achicoria,2017,2835.0510077857625,118.37373727706732,No asignado
2250.0000000000005,2312.3607641244357,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1963,62.36076412443526,2.7715895166415665,No asignado
1800.0,2102.141398778266,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1964,302.1413987782662,16.785633265459232,No asignado
1800.0,1615.6692573962139,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1965,184.33074260378612,10.240596811321451,No asignado
2700.0000000000005,1589.024004847321,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1966,1110.9759951526794,41.14725907972886,No asignado
2070.000000000001,2810.5771966701245,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1967,740.5771966701236,35.776676167638804,No asignado
2100.0000000000005,2287.5948817304043,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1968,187.5948817304038,8.933089606209704,No asignado
2200.0,2467.8098863148043,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1969,267.8098863148043,12.173176650672923,No asignado
3499.9999999999977,2724.0924926794796,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1970,775.9075073205181,22.168785923443387,No asignado
5200.000000000001,2851.6608247353183,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1971,2348.3391752646826,45.16036875509004,No asignado
4399.999999999996,4265.382509039921,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1972,134.61749096007497,3.0594884309107973,No asignado
5829.999999999998,5556.700001227054,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1973,273.2999987729445,4.687821591302652,No asignado
6540.999999999998,6270.824562230436,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1974,270.17543776956245,4.130491328077703,No asignado
6481.999999999999,6916.8502284492815,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1975,434.85022844928244,6.70858112387045,No asignado
7166.9999999999945,7112.10784435229,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1976,54.892155647704385,0.765901432226935,No asignado
7470.0000000000055,8059.251774637389,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1977,589.2517746373833,7.888243301705258,No asignado
7971.000000000002,8033.927308769836,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1978,62.92730876983387,0.789453127209056,No asignado
7490.0000000000055,8652.644971057614,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1979,1162.644971057609,15.522629787150976,No asignado
10180.0,7466.29475469015,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1980,2713.7052453098504,26.65722244901621,No asignado
