Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1967,Albaricoques,135200.0,140293.7072480905,14200.0,9521.1,5093.707248090504,3.7675349468125034
1968,Albaricoques,184500.0,176051.62293125325,16500.0,11181.8,8448.377068746748,4.5790661619223565
1969,Albaricoques,100400.0,145454.6236460429,17400.0,5770.1,45054.62364604289,44.87512315342917
1970,Albaricoques,161800.0,138307.15709611782,22500.0,7191.1,23492.842903882178,14.51968041031037
1971,Albaricoques,145800.0,153535.04951255486,20500.0,7112.2,7735.049512554862,5.305246579255735
1972,Albaricoques,159100.0,126467.11559094174,22600.0,7039.8,32632.884409058257,20.51092671845271
1973,Albaricoques,131000.0,141990.68289359377,22900.0,5720.5,10990.682893593766,8.389834269918905
1974,Albaricoques,212800.0,171476.41594562295,22800.0,9333.3,41323.58405437705,19.418977469162147
1975,Albaricoques,132400.0,152107.40288103707,23300.0,5682.4,19707.402881037066,14.884745378426786
1976,Albaricoques,216300.0,159079.01966084016,21600.0,10013.9,57220.98033915984,26.454452306592625
1977,Albaricoques,65500.0,143677.37159744653,20200.0,3242.6,78177.37159744653,119.35476579762829
1978,Albaricoques,219500.0,131112.99243889135,20200.0,10866.3,88387.00756110865,40.26742941280576
1979,Albaricoques,154500.0,178758.88521099018,19500.0,7923.1,24258.885210990178,15.70154382588361
1980,Albaricoques,113800.0,145982.70584196993,19300.0,5896.4,32182.70584196993,28.28005785761857
1981,Albaricoques,173700.0,156541.53629430596,19600.0,8862.2,17158.46370569404,9.878217447146827
1982,Albaricoques,180500.0,172125.25718747583,19900.0,9070.4,8374.742812524171,4.639746710539707
1983,Albaricoques,151100.0,169743.3803363009,21300.0,7093.9,18643.380336300906,12.338438343018469
1984,Albaricoques,208100.0,180618.36376266635,19200.0,10838.5,27481.636237333645,13.205976087137744
1985,Albaricoques,150664.0,162312.13047426404,20000.0,7533.2,11648.130474264035,7.731196884633379
1986,Albaricoques,151000.0,159393.24092831113,20400.0,7402.0,8393.240928311134,5.5584377008683
1987,Albaricoques,142000.0,146624.01127146374,21400.0,6635.5,4624.011271463736,3.256345965819533
1988,Albaricoques,157400.0,148625.79119763544,21900.0,7187.2,8774.208802364563,5.5744655669406376
1989,Albaricoques,165000.0,150562.53163727536,22800.0,7236.8,14437.468362724641,8.749980825893722
1990,Albaricoques,119600.0,129725.7458245122,22800.0,5245.6,10125.745824512196,8.466342662635617
1991,Albaricoques,210900.0,183766.92357490113,23900.0,8824.3,27133.076425098872,12.865375260833984
1992,Albaricoques,198700.0,183391.71606732314,24100.0,8244.8,15308.283932676859,7.704219392388957
1993,Albaricoques,210000.0,189781.50113181002,23900.0,8786.6,20218.498868189985,9.627856603899993
