time,Temp media,Dias calefaccion,Dias efrigeracion,Dias helada,Max temp monthly max,Max temp monthly mean,Max temp monthly min,Min temp monthly max,Min temp monthly mean,Min temp monthly min
1963-04-01,284.3503134097127,140.1270251655218,0.2737875292856662,1.8752499080889145,293.0493805337642,287.9895454128034,281.7323672260543,284.6715041888053,280.8041723203001,275.43822701810325
1963-05-01,288.01996167031507,66.37978213311976,2.5715622024117963,0.5794573111888587,296.4181702351859,291.8086504389039,286.7224615423502,288.0893361737652,284.196534387156,280.3960453715204
1963-06-01,292.18763588374543,25.025129796971623,25.583748781712167,0.1428188521960382,302.5879030739077,296.003078812636,289.78967325496666,292.97685061808824,288.16582012066215,284.1251764451928
1963-07-01,295.69261784954347,7.234020624988158,68.38319198650902,0.010171658045254,304.033315401521,299.8617145390787,295.78662515330006,294.4154215328423,291.4374913379858,288.10888504226193
1963-08-01,294.96521174018267,13.021240313583087,65.77045025676168,0.0710110358104865,304.58355227279674,299.32227973991985,293.6417439475763,294.7281136957206,290.74583370363075,286.2697344293033
1963-09-01,291.6495345808963,26.74502771423214,20.866857641114848,0.088493340560909,300.3770434884158,295.66358778613585,289.6442580407602,291.7534491765748,288.06221682734474,283.36242257998697
1963-10-01,287.1975883657941,89.04913878922447,4.101897955861632,0.5693784602182022,296.1698342719829,291.12724869013334,284.7205396526944,288.37175245404825,283.7862195924079,279.68376816908574
1963-11-01,284.4064385347661,141.22290173018175,0.1310187128418746,2.0964585999645737,292.20634376034764,287.61378630983984,281.58372478964986,286.93130759892983,281.6481586632217,275.2124532238567
1963-12-01,278.03370121868045,331.3313616775704,0.0009778862779874,11.467940924900535,286.502975401934,280.75259388923234,274.543271925245,282.3134576036383,275.6572319626419,268.3403704454698
1964-01-01,275.7065253640896,400.99989214195705,0.0,16.15798780188894,283.3875175855867,279.2159812914932,274.32455512315136,278.25121602053275,272.9204392017009,267.87193719806555
1964-02-01,278.39645708166233,296.9984343932856,0.0,10.185196981494055,286.8225507684764,281.7677736164173,276.19336439670906,281.29902970735753,275.45120667040635,268.87833360461485
1964-03-01,280.91118362638065,241.32526966541832,0.024328542355245,5.98314437945944,290.5559253478441,284.1223050679473,277.6811130405548,282.88703216132274,277.9858806834422,271.8691330019926
1964-04-01,284.40052694854126,141.36118976599477,0.8962881897779182,1.7127839534315394,293.8871998938838,288.3560136765682,282.2032961817475,284.92282505093067,280.5032409841033,275.8354150303056
1964-05-01,289.4107107568988,48.92575881824629,9.212910371888686,0.2956848456683814,298.09187680176683,293.40158288976204,288.27569087342874,289.0362265071755,285.3515019242448,281.39537208103314
1964-06-01,293.153036353903,14.998345227154532,27.61239506591405,0.0292696594715793,301.71868134589863,297.1916054136559,291.94551329693104,292.2312568899529,289.04580139382574,285.40895053652406
1964-07-01,295.16977301130146,10.262550182926844,61.91472166896496,0.0155022371116401,303.43212332015,299.447090940512,293.350245221393,294.1447242500483,290.7852016762454,286.27097014594244
1964-08-01,294.5119052280244,12.501093423208422,54.445160734479806,0.0279575652953956,303.23490881957684,298.87505999435785,293.8160518073132,293.6286280164909,290.3121152362361,286.53309472157184
1964-09-01,292.2041860890597,27.11348142880619,30.18425820625649,0.1215018746605524,301.43172452014505,296.3919234020962,289.45204183054614,292.2939147432121,288.3797195449364,283.3201224584277
1964-10-01,286.67733704403554,102.7155729176213,3.0629299047187333,0.9979014654583004,296.6732217958664,290.1977708735948,284.3154497954202,288.9475910212092,283.5846324556042,278.366929471374
1964-11-01,282.7993970511707,181.6002782948132,0.0754496173610006,2.5049789993896203,290.09665149711,286.0653352752739,280.4891410907153,284.856990606674,280.1451202091415,274.8982016614584
1964-12-01,278.49222378341244,315.4396399181758,0.0,9.830253017731865,285.9311092849604,281.3759756146427,275.8610529571213,281.5345911329356,276.0881780302964,269.3164770830929
1965-01-01,277.766995031095,337.30315758731456,0.0,11.876722919924438,286.04929090222726,280.7427238395768,276.3259252633195,281.13822478212,275.2358730209229,269.9392417426956
1965-02-01,275.5852705953672,365.6794563172192,0.0,15.0361960130597,286.1279168732792,279.01322695667,273.6895715711187,279.5702799262914,272.5679282405732,266.50432943845107
1965-03-01,280.8761393958044,244.29542672617947,0.1249638379389344,6.7921844811093175,290.6980478693636,284.49165017179257,277.67620755664507,282.552660632852,277.54823631325587,270.3027775083981
1965-04-01,283.5396612007322,162.3595403654628,0.4710668673018208,1.9835694014463736,292.12099055271926,287.1842890728424,281.79691141811827,283.7063723803173,280.0419091413832,275.8047680577069
1965-05-01,288.41712684324216,69.62791912310792,9.125160851786248,0.5442122993156544,298.8950055982384,292.4675256806446,286.01537343895166,289.1875829448918,284.3313423919995,279.84916284674216
1965-06-01,292.86644016922696,25.819966578879114,37.796909449934674,0.1784884153736377,303.61956505876674,297.0561987475041,289.871011454739,293.84780162051334,288.5372209139257,283.5000560619376
1965-07-01,294.8759590423924,12.299986422963809,57.94935277753779,0.0543134414982934,304.50151545329675,299.223780258627,294.03389765770964,294.1546375560687,290.348279116968,286.4971099890903
1965-08-01,293.98882829021943,16.91514737146002,48.99864289747245,0.0338635287818504,304.4596987231689,298.32971453553125,292.64167134781644,293.7513362296679,289.71103957683863,285.45755467033257
1965-09-01,290.8073915066611,37.84905238653285,16.299061645171115,0.2811027922202807,299.6013482335611,294.9039567868392,289.2568822493936,290.9123604651241,287.0340921993286,283.2333336959882
1965-10-01,286.86452839644573,92.2318343129783,2.1142199842111693,1.2733274026196848,296.2410347767319,290.72836847835805,285.79679472023884,288.6929439913454,283.6389294254612,278.64961588652307
1965-11-01,282.4090609198728,196.45187349238972,0.0389591366372345,4.5635011709263,291.8273326319519,285.3911542231885,277.9616693672976,285.4197607813455,279.6506102367995,271.0452969258769
1965-12-01,279.8343302929329,273.83833806037137,0.0,7.5091847639653775,287.0354516433336,282.7359778511026,277.8789737758481,282.5938147957911,277.2867490759455,271.26385475200016
1966-01-01,277.57271136843144,343.41501781540205,0.000208369704152,11.709933217998389,285.76837375858247,280.4178811828371,273.88474008701826,280.70462231221563,275.05660270653254,267.5039410472639
1966-02-01,281.63283637898417,196.1623522720718,0.0025749530043515,3.369135911170268,289.4376727710855,284.96375272290885,280.6683502902297,283.01301004580904,278.8120311067197,274.09662932429376
1966-03-01,280.58179591523776,251.85654612299007,0.0159025825559903,7.096426880860436,289.2422490462302,284.52366728936465,279.8405787071368,281.5555632247689,276.9181908616946,272.3761265569736
1966-04-01,285.2524369595224,115.99676231226184,0.4798419835936388,1.1880517993825477,294.26352575179243,288.9402714511987,283.8235540586777,285.88544556487057,281.7780562858643,276.3903130766849
1966-05-01,288.58459788066443,60.6919881082775,5.336836875217031,0.4875660424416327,297.3323013824618,292.5638060845665,286.122802876541,288.3163382854706,284.6044510036024,280.3113346193164
1966-06-01,292.3121563375488,22.14265456597043,22.858196376466115,0.1262502662737409,301.61251461387434,296.28305227619126,289.8860075009205,291.9827915310637,288.26528610005124,283.69384536274083
1966-07-01,294.28081865792353,14.277042387614117,50.01383307117181,0.0551371668855111,303.3828319757098,298.42495231292,292.9810396712569,293.7327391349172,290.0783328437292,286.4455907956834
1966-08-01,294.79538944192143,12.616390558987003,61.98607268578462,0.0417349378159114,304.23489280072755,299.0913652295683,293.1040198021351,294.3655876842265,290.74359634589047,286.42104885014845
1966-09-01,292.3182182881248,21.629660733407288,26.90860811223066,0.0305728385791063,301.7376006659852,296.728715604232,290.8478420899886,291.78018833328747,288.3804630110587,284.3585471628759
1966-10-01,288.49616509903746,65.12169058454592,4.216642134802169,0.5703255653797146,296.99698289558023,291.86842468072086,284.24110792007014,289.9824113365004,285.71297608500345,278.64238599883413
1966-11-01,281.15856096264207,233.5648129617688,0.1704414043235875,5.895438171705293,289.79964745869506,284.2761809330717,279.6173689678682,284.9366449997992,278.49476439351736,273.04423018336
1966-12-01,278.683769038422,309.5100840809576,0.0,9.854785748968174,286.6837608756696,281.8136898215133,277.3651339139269,281.68330300355404,276.0941352030217,271.0816202256639
1967-01-01,276.4424627842674,378.3861385021504,0.0,13.880581130951114,285.09690725745867,279.6788199965247,272.70323207282627,279.27441319648204,273.55543487688124,265.4949109734719
1967-02-01,278.40930614308564,286.7101600471141,1.10863865271421e-05,9.15260326826957,288.2755342427777,281.65464798432856,275.4654663164779,281.1291264410361,275.5465407575333,269.3471056998502
1967-03-01,282.0916856422972,206.63606288032,0.1233411217685088,3.865413572923182,291.1819239433279,285.8172173040215,280.4814584617478,283.512562227271,278.68857646941944,274.05792009581114
1967-04-01,283.8030966372901,155.09718171330923,0.3608321735290195,2.4326392296971124,293.6977417968017,287.4992818274061,281.3806524378633,284.7745785204765,280.20493563093964,274.81612752894466
1967-05-01,288.3036555721611,63.5383115820637,4.19823480458889,0.4934560219817788,297.9671578690498,292.20853185425204,286.54020928559186,288.4862944280933,284.4478128657352,279.7558355480326
1967-06-01,291.22712568800296,32.10807665231954,17.701606609164088,0.2159928570024727,301.74056355560026,295.16372896065013,288.9370486835295,292.0160654648602,287.2392045690907,283.13950009753745
1967-07-01,295.77037485598186,6.750133839813578,71.39649832803482,0.0183834740500918,305.20385795102686,300.2977526498476,294.99176962861657,294.881382603196,291.3054463842552,287.78783722987043
1967-08-01,295.38196875500887,8.817864975380694,69.21414686437767,0.0114918280412686,304.4285974339163,299.9767467396945,295.0222218457229,294.4761433047556,291.10163175766434,287.6593317630277
1967-09-01,291.8203887112689,25.506201918213574,21.038155101319177,0.1645118451403162,300.81851515943544,296.181188965926,291.49059089362515,291.9945946377076,287.9590865843463,284.23741466977367
1967-10-01,288.7118546345665,59.90774768439528,5.98930630218579,0.5748772650293166,297.703888597157,293.0909308771552,286.363369494529,289.47316335062,285.0931682403333,278.88956172144856
1967-11-01,283.25369225936765,171.52745971222296,0.0530032237142413,3.401375121746656,291.9867383297039,286.546289827389,280.3780082061569,286.0897877751597,280.5336783774055,274.2843910130136
1967-12-01,277.86980598853165,334.971476932634,0.0,11.58250348016441,287.15450770628195,281.0634133471841,273.3965086478064,281.7319419383292,275.1531632361385,266.9422450452341
1968-01-01,276.6711613890568,370.6202249473847,0.0,13.838626557999744,285.5611051414555,280.25196335383737,272.7865077672116,279.3967376129698,273.61469425149585,265.57543726753124
1968-02-01,279.83996198223144,255.4013918123062,8.56498738473701e-05,6.496219352981305,288.1537285314713,282.7918329191722,277.7347808194163,282.1905535602209,277.3003283356189,271.1435855651389
1968-03-01,281.0419620454046,237.42347415739692,0.0421031160331363,6.282466052670471,292.0086103632783,284.9105732029573,277.51171252898166,282.8641043089216,277.5415575901614,271.1000030143583
1968-04-01,285.62071803813296,112.45759926701317,1.663548095838456,1.4220117216480876,295.7991625013495,289.6673117674243,282.6159952119848,286.4247223150465,281.76134000954704,276.1273737389547
1968-05-01,289.28029750347,56.654474239505234,10.0916314437824,0.4776546702777582,299.10745258820623,293.2981626460264,287.0225108831909,289.65510075115577,285.3805018000902,280.5864631018263
1968-06-01,292.30552607000885,22.585702226848937,25.831275787982538,0.1068218820665777,303.5174549826402,296.3582517655307,290.4146497843376,292.8810084279861,288.2408579002294,284.46190275881975
1968-07-01,295.0747644189572,12.460746453720835,65.35761554725568,0.0288549808353589,305.674626915123,299.50856951921764,293.8584480908612,295.52027994468733,290.6760750925628,286.48836482698573
1968-08-01,293.6894193294364,14.957893199143284,42.66421037252791,0.0276573953804989,302.5529445458332,297.82820083317546,292.6482286057201,293.11927509950385,289.8403941809211,286.1706662391039
1968-09-01,291.4201311619246,29.937692548185503,20.76144719054887,0.1244561521147448,301.14427762398657,295.56516939218835,290.506208961984,292.03652932623254,287.7814992031718,282.7680943090301
1968-10-01,288.0452364737645,71.59927813818425,5.341229572161781,0.7045464017700798,296.9714099192981,292.35133816458534,286.51301434187155,288.1809248473963,284.4357539927982,279.53449264603427
1968-11-01,283.0678570372254,176.2644743300262,0.0503997385692018,3.0785259879431943,292.1111178383056,285.9726839944103,279.88295309303805,286.811644483514,280.6240546592625,274.73756300527225
1968-12-01,278.4964352566294,315.2536076100852,0.0002226152943095,9.45653323002274,286.6350851104148,280.91844406363657,275.2155279953566,282.4769791006788,276.3545155476161,269.38715436068003
1969-01-01,277.46386185143945,346.6101107748959,0.0,11.25990972669394,285.406590929959,280.3158886900285,274.5485236849745,280.70138291715614,274.9878584931813,267.9361438557065
1969-02-01,278.06899897660594,296.279245306633,0.0,9.655255600651936,285.8003487178705,280.92586742587275,274.6812795325866,280.77521194397514,275.44769536589155,268.24908648143776
1969-03-01,280.8262707615728,243.25142331169556,0.0065256842079426,5.23612807906081,288.36288026420345,283.54684378487104,278.81533558579235,283.19733556810445,278.3748476728947,273.26564900561766
1969-04-01,283.9477130690415,152.9961579843996,0.620795197411104,2.188810006028177,294.42147931306795,287.63725119423526,281.1535362510608,286.20678958568965,280.36453320524345,274.9801500452469
1969-05-01,289.43806554088883,50.03788010090005,10.192935927569277,0.326379682093392,300.0570205830897,293.3734202647984,287.05157054043366,290.19511888906175,285.5528848405553,281.14005763706655
1969-06-01,291.3892919678196,30.42664406598742,18.956545315773614,0.1942185059729853,301.0959139455481,295.25719740721604,288.7283610195751,291.5330283543052,287.5259504844644,283.0565238685345
1969-07-01,294.5152191418261,12.90915358626254,53.31737797518024,0.041553771312277,303.1995541040549,298.838467394924,292.4302668703118,293.599600291618,290.2078743836668,285.9170428667695
1969-08-01,294.45400676681777,14.055093012308864,55.55665548335559,0.0757844898827911,303.9533582532718,298.7645834442735,292.3451449073914,294.4814141729205,290.3825451118028,285.97557512235363
1969-09-01,291.2325589030191,27.25115353371909,15.759837590257764,0.0322503508994351,299.6791105226954,295.0821520931778,290.3470514217411,291.5458838127773,287.862399523331,283.8047131737688
1969-10-01,287.2803740784316,78.42778361051066,1.063021571888726,0.4761063288128588,295.06253523725275,291.4715324662792,287.26313343408776,287.98965251002926,283.86846027342455,279.83945809573504
1969-11-01,283.1986584305462,173.9168800404342,0.0567098915178777,3.928529646182192,292.29148201690447,286.7542476426264,278.2416092535698,286.85891343801507,280.1621951599902,272.25584951289187
1969-12-01,277.522347560187,345.73754140534186,0.0,11.263329274164755,284.82581020007933,280.06839513710446,275.34820749027733,280.3402917508362,275.2679651775554,269.9567700410539
1970-01-01,279.34576837866825,288.85988611700463,0.0,7.716815960798067,286.3551773068098,281.65637578327886,276.22165351336355,282.6053038546138,277.21315917592807,271.22689881681924
1970-02-01,279.104201535444,267.1885912964084,0.0035041501999317,8.168272655641907,287.8488625714261,282.29436665416483,276.1940995851344,281.5912499077299,276.18378787848366,269.19006030608955
1970-03-01,280.3562879654139,259.4054267997296,0.0420846516464267,7.273198096117328,291.0152421399336,283.8068505210172,277.5863244055155,283.6311309936393,277.1445405750774,270.79570718580385
1970-04-01,284.48567967826114,145.64780512797674,2.294015206342252,2.5562190101607607,296.20130016821554,288.43333287495784,281.19591747456377,286.1858465598722,280.69343875459583,274.59972090351914
1970-05-01,287.519877289342,83.48300086953007,6.54821728732604,0.7892842361364275,297.82393735517405,291.4152972849975,283.95592541580766,288.15467480256905,283.62140236172894,278.0563331216729
1970-06-01,292.6007763821602,19.37448242138402,25.171566665422134,0.0669338575351979,301.46401057370167,296.57894431685736,289.73494848079747,292.1146026117261,288.5959426754184,283.9412465611209
1970-07-01,294.9635974720944,12.41062186451941,61.08296772616758,0.0694923454521454,303.951603921064,299.36863147171243,292.96268869683206,294.03721298306,290.55941084046805,285.9654212645325
1970-08-01,294.9414298064062,10.162879020980196,60.4814156002908,0.0210919940513118,304.1670050954426,299.3085538786688,294.1306713094842,294.26069677639765,290.8257882189366,286.77949535063044
1970-09-01,292.59841856094346,25.41061148831612,34.601594427706594,0.1348210188846901,302.5357061832302,297.3117959350777,290.7139349132851,292.6183720973483,288.39770236247074,281.994704334389
1970-10-01,286.35498052854143,109.72449421227586,3.611183138761792,1.375963228934418,297.1831948386139,290.61123959677286,283.26354488428353,288.5985979147458,282.7358110349493,276.5202862457962
1970-11-01,283.7250421359432,157.5322101576878,0.4940486409643723,2.4983683195959268,293.23343119720687,287.5056055740032,282.1444897927188,285.2583436622266,280.5783433137947,275.6996975012987
1970-12-01,277.96089396314187,332.0483875767438,0.0,12.35839444823982,287.04926860922694,281.0033544304872,275.0767690456722,282.21796438691433,275.4374132848532,269.02207826919755
1971-01-01,278.309047273377,320.9256052315108,3.808358825444946e-05,9.504196556668484,286.4829292809474,281.0251337885111,273.7375441571824,281.75035586464514,275.9393849629889,267.85380191517635
1971-02-01,278.8468713060429,274.3281334401853,0.0029776741825895,8.536387840953367,286.668935405084,282.36368146365754,276.6764375794321,280.33681052730367,275.91975914591546,270.3948861495792
1971-03-01,278.9674012517046,301.19774424514424,0.0082247648203054,9.319739479581582,289.6111072012948,282.32643587749067,273.8451480525757,282.2384375671352,275.84003642897994,267.4107959522115
1971-04-01,284.75552774634446,126.32338558222662,0.2415869511041507,1.0046356072784413,293.8006816955453,288.31109417115454,282.9451637801541,285.4228366433256,281.392961134276,277.18287767300967
1971-05-01,288.4823627354634,58.79264233388962,4.291922833310725,0.2933208008161488,297.25700458723827,292.1020313713023,286.67125760828253,288.48643349372406,284.99708645773205,281.23111800729447
1971-06-01,291.5050170037404,28.314778193282145,19.96085918211632,0.1048319354766924,301.44649682269824,295.4594514041022,289.8136856476241,291.6986065940426,287.57577421362566,283.4595149058149
1971-07-01,294.7118930521442,10.123405185574034,52.256981819098094,0.0186655640321752,304.03133952363254,298.9800612385678,292.6603314630165,294.13845773293394,290.448470453278,286.2662045891848
1971-08-01,295.57267956481746,7.249308638403122,70.54474763631885,0.0,304.8113651526673,300.1163631100601,295.0872058821917,294.64004344371546,291.3247741452944,287.9030239821869
1971-09-01,290.86370611676386,37.769129320805135,17.990796284474573,0.1790802036684487,300.2535106259303,295.0309111952315,289.10552887703176,291.32923101751567,287.1730983562252,281.98001016970727
1971-10-01,286.87194632307177,96.39009406566518,3.601746201547529,1.4170332552938558,296.7454065736814,291.2867841535642,284.3240251909493,288.10802054222336,283.2237189849766,277.74582909003186
1971-11-01,281.29190987632245,225.01281537779695,0.0492110341076802,5.574240636073522,291.28509426980906,284.66759448848484,277.6156556504788,284.5785180285062,278.45149567851865,271.6280894646767
1971-12-01,279.0522829931048,297.30220211897705,0.0,8.277584864411494,286.30038353546547,282.1553180238756,277.1530491715163,281.13492514912605,276.61838465621975,271.71121464628527
1972-01-01,277.74636979017146,337.9823845890072,0.0,9.461655045136336,284.16991470026505,280.0993300876286,274.8901358123662,280.2785011358161,275.6871077514121,269.6573355275284
1972-02-01,279.6027678200015,262.26190980439503,0.0,5.332934441769143,286.0253134668044,282.202740911084,277.4896670234364,281.7006026326577,277.298683306993,271.7461282712025
1972-03-01,281.970166819493,208.7955639062863,0.0145925884309238,3.629088897178575,291.45409475446866,285.6318976595258,278.98279505747155,282.75196972807305,278.6400904689807,273.5915568977454
1972-04-01,284.72317691626404,129.2874693998648,0.5529574883695696,1.3523936939914638,293.86546029719113,288.34503588735737,283.18348454815333,285.01407122274315,281.33215633457485,276.86793149170603
1972-05-01,287.77681536070645,78.55821653451093,6.017259250300447,0.6048645669142548,298.41643010055566,291.73514448265496,285.12380792548083,288.7718544856666,283.82755909108096,279.5243335378867
1972-06-01,292.10013432332096,24.80009750641318,23.177272989104598,0.1459019089504985,301.344915982358,296.2190450937469,290.2390821891594,291.7522395321961,288.00045324276323,284.0105079519619
1972-07-01,294.3260077601305,10.441739377497775,45.52034155974667,0.0220116416951946,303.1628065032768,298.4465162907503,293.2050531434087,293.5383666662083,290.36617340268674,286.52879604057625
