Real,Predicho,Producto,Año,Error_Absoluto,Error_Porcentual
17075.999999999993,22849.57844152023,Raíces de achicoria,1969,5773.578441520236,33.81107075146544
12777.999999999993,16594.163147785097,Raíces de achicoria,1970,3816.1631477851042,29.865105241705326
16600.000000000007,14323.263025531656,Raíces de achicoria,1971,2276.736974468351,13.715282978725
5219.999999999996,15057.617593842207,Raíces de achicoria,1972,9837.617593842211,188.46010716172833
16904.00000000001,5519.641718559987,Raíces de achicoria,1974,11384.358281440025,67.3471266057739
19551.000000000015,14439.249230604417,Raíces de achicoria,1975,5111.750769395598,26.145725381799366
19024.00000000001,19926.970470568034,Raíces de achicoria,1976,902.9704705680233,4.7464806064340985
34201.00000000001,19291.181446369104,Raíces de achicoria,1977,14909.818553630903,43.59468598471068
27857.000000000007,31923.387342087957,Raíces de achicoria,1978,4066.38734208795,14.597362752945218
25846.999999999993,29779.30135310209,Raíces de achicoria,1979,3932.301353102099,15.213763117971524
24010.000000000007,26928.16561127576,Raíces de achicoria,1980,2918.165611275752,12.153959230636199
21360.000000000004,23577.355344231542,Raíces de achicoria,1981,2217.3553442315388,10.380877079735667
21865.999999999996,23648.92890782035,Raíces de achicoria,1982,1782.9289078203547,8.153886892071503
20467.999999999996,23648.92890782035,Raíces de achicoria,1983,3180.9289078203547,15.54098547889562
20003.000000000015,21411.61202128769,Raíces de achicoria,1984,1408.612021287674,7.042003805867485
26760.000000000022,19996.155518420004,Raíces de achicoria,1985,6763.844481580018,25.27595097750378
20233.99999999999,26442.460624936633,Raíces de achicoria,1986,6208.460624936644,30.68330841621354
26611.0,20556.872827343606,Raíces de achicoria,1987,6054.127172656394,22.75046850045618
36431.999999999985,26442.460624936633,Raíces de achicoria,1988,9989.539375063352,27.419684274987254
31329.000000000015,35626.90717981938,Raíces de achicoria,1989,4297.907179819369,13.718622298251992
16647.999999999993,30267.214249410754,Raíces de achicoria,1990,13619.214249410761,81.80690923480759
11062.00000000001,14481.84659131129,Raíces de achicoria,1991,3419.8465913112814,30.915264792182956
11511.999999999989,10267.541986179158,Raíces de achicoria,1992,1244.4580138208312,10.810093935205286
8038.999999999995,11966.526860386819,Raíces de achicoria,1993,3927.5268603868235,48.85591317809212
5523.000000000003,9512.425430244079,Raíces de achicoria,1994,3989.425430244076,72.23294278913768
4908.000000000003,6196.681493536818,Raíces de achicoria,1995,1288.6814935368157,26.256754147041867
6798.0000000000055,5015.200614587378,Raíces de achicoria,1996,1782.799385412627,26.22535135940903
6097.0,7057.727286869787,Raíces de achicoria,1997,960.7272868697873,15.757377183365382
6000.000000000005,6669.797410305413,Raíces de achicoria,1998,669.7974103054084,11.163290171756799
5654.000000000003,6278.283466829394,Raíces de achicoria,1999,624.2834668293908,11.041447945337646
6050.0,6110.65793777674,Raíces de achicoria,2000,60.657937776740255,1.0026105417643019
6000.000000000005,6278.283466829394,Raíces de achicoria,2001,278.283466829389,4.638057780489813
5514.930000000001,6259.279997674919,Raíces de achicoria,2002,744.3499976749181,13.496998106502131
4948.159999999996,6092.161766403563,Raíces de achicoria,2003,1144.0017664035668,23.119740800692938
4531.460000000002,5015.200614587378,Raíces de achicoria,2004,483.7406145873765,10.675160204158843
4693.079999999998,4618.173346611002,Raíces de achicoria,2005,74.90665338899635,1.5961085979569147
4000.0000000000014,5015.200614587378,Raíces de achicoria,2006,1015.200614587377,25.380015364684418
1599.9999999999995,4226.224047934931,Raíces de achicoria,2007,2626.2240479349316,164.13900299593328
999.9999999999999,1466.1323651466328,Raíces de achicoria,2008,466.1323651466329,46.61323651466329
800.0000000000003,973.4304346162302,Raíces de achicoria,2009,173.43043461622983,21.67880432702872
274.9999999999999,689.8745425890132,Raíces de achicoria,2010,414.87454258901334,150.86347003236855
299.9999999999999,270.1770501940209,Raíces de achicoria,2011,29.822949805978965,9.940983268659659
539.9999999999998,255.45775690562562,Raíces de achicoria,2012,284.54224309437416,52.693007980439674
270.00000000000006,378.10942267225937,Raíces de achicoria,2013,108.10942267225931,40.04052691565158
369.99999999999994,312.1359120588022,Raíces de achicoria,2014,57.86408794119774,15.6389426868102
393.33,318.46729958649524,Raíces de achicoria,2015,74.86270041350474,19.033051232681146
5480.000000000005,311.7050071689914,Raíces de achicoria,2016,5168.294992831014,94.31195242392353
2395.0,4205.313556335858,Raíces de achicoria,2017,1810.3135563358583,75.5872048574471
2250.0000000000005,2203.374302575122,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1963,46.62569742487858,2.072253218883492
1800.0,2255.8114039983216,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1964,455.81140399832157,25.322855777684534
1800.0,1542.7689070140116,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1965,257.2310929859884,14.290616276999357
2700.0000000000005,1567.4467783608043,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1966,1132.5532216391962,41.94641561626652
2070.000000000001,2938.228402970265,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1967,868.2284029702641,41.943401109674575
2100.0000000000005,2220.3028344693953,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1968,120.30283446939484,5.728706403304515
2200.0,2203.374302575122,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1969,3.374302575121874,0.15337738977826698
3499.9999999999977,2255.8114039983216,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1970,1244.1885960016762,35.54824560004791
