Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1997,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",8322.0,6390.865773737581,3457.0,2407.3,1931.1342262624194,23.205169746003598
1998,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",11172.0,8976.285228135835,3790.0,2947.8,2195.7147718641645,19.653730503617656
1999,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",12091.0,10880.205041490502,4011.0,3014.5,1210.7949585094975,10.014018348436833
2000,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",9596.0,12686.861641355894,3726.0,2575.4,3090.861641355894,32.2098962208826
2001,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",9288.0,10407.544357116343,3217.0,2887.2,1119.5443571163432,12.053664482303438
2002,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",7025.0,9601.261490015482,2863.0,2453.7,2576.261490015482,36.67276142370793
2003,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",6916.0,7846.887322941982,2583.0,2677.5,930.8873229419823,13.459909238605874
2004,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",7896.0,7480.654549613937,2685.0,2940.8,415.345450386063,5.2602007394384875
2005,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",7084.0,8454.855536121058,2633.0,2690.5,1370.8555361210583,19.351433316220472
2006,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",5727.0,7480.654549613937,2074.0,2761.3,1753.654549613937,30.620823286431587
2007,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4939.0,6124.601893532229,1687.0,2927.7,1185.601893532229,24.004897621628448
2008,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4928.21,4914.715863910268,1722.0,2861.9,13.49413608973191,0.27381414529275155
2009,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",5314.0,4968.0720385870345,1782.0,2982.0,345.9279614129655,6.509747109766005
2010,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4882.0,4968.0720385870345,1708.0,2858.3,86.07203858703451,1.763048721569736
2011,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",5658.0,4968.0720385870345,1858.0,3045.2,689.9279614129655,12.193848734764325
2012,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",5652.0,5988.22893796454,1769.0,3195.0,336.2289379645399,5.948848867030076
2013,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4327.0,6053.237240771322,1553.0,2786.2,1726.237240771322,39.894551439133856
2014,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4534.94,4539.382766388676,1541.0,2942.0,4.4427663886763185,0.09796747892312399
2015,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",4970.25,4588.664999676689,1683.0,2953.8,381.58500032331085,7.677380419965009
2016,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",5726.13,4968.0720385870345,1950.0,2936.5,758.0579614129656,13.238574070322636
2017,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",6478.0,6034.927041874587,2107.0,3074.5,443.0729581254127,6.83965665522403
1963,"Ajíes y pimientos, verdes (capsicum y pimenta)",402700.0,347868.779803785,22900.0,17585.2,54831.22019621503,13.615897739313393
1964,"Ajíes y pimientos, verdes (capsicum y pimenta)",367300.0,352286.49308542785,20800.0,17658.7,15013.50691457215,4.087532511454437
1965,"Ajíes y pimientos, verdes (capsicum y pimenta)",383000.0,372832.0451087049,21600.0,17731.5,10167.954891295114,2.6548185094765313
